;projectID;topic;title
0;795119;MSCA-IF-2017;Individual Fellowships
1;815989;EIC-SMEInst-2018-2020;SME instrument
2;885845;EIC-SMEInst-2018-2020;SME instrument
3;880439;EIC-SMEInst-2018-2020;SME instrument
4;851631;FETOPEN-03-2018-2019-2020;FET Innovation Launchpad
5;787258;ERC-2017-ADG;ERC Advanced Grant
6;687528;COMPET-05-2015;Scientific exploitation of astrophysics, comets, and planetary data
7;867429;WF-01-2018;Widening Fellowships
8;757202;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
9;855610;EIC-SMEInst-2018-2020;SME instrument
10;692987;ERC-PoC-2015;ERC Proof of Concept Grant
11;797242;MSCA-IF-2017;Individual Fellowships
12;663056;IT-1-2014-1;Small business innovation research for Transport
13;101015462;S2R-CFM-IP4-01-2020;Enhancing IP4 Ecosystem
14;736461;SMEInst-09-2016-2017;Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
15;715283;ERC-2016-STG;ERC Starting Grant
16;725899;ERC-2016-COG;ERC Consolidator Grant
17;885956;EIC-SMEInst-2018-2020;SME instrument
18;735091;SMEInst-02-2016-2017;Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs
19;739733;INNOSUP-02-2016;European SME innovation Associate - pilot
20;895377;MSCA-IF-2019;Individual Fellowships
21;728387;SMEInst-10-2016-2017;Small business innovation research for Transport and Smart Cities Mobility
22;809451;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
23;817285;EIC-SMEInst-2018-2020;SME instrument
24;836867;EIC-SMEInst-2018-2020;SME instrument
25;827344;EIC-SMEInst-2018-2020;SME instrument
26;640924;ERC-PoC-2014;ERC Proof of Concept Grant
27;960899;EIC-SMEInst-2018-2020;SME instrument
28;961843;EIC-SMEInst-2018-2020;SME instrument
29;816999;EIC-SMEInst-2018-2020;SME instrument
30;101000169;LC-SC3-B4E-10-2020;Self-assessment and self-optimisation of buildings and appliances for a better energy performance
31;772568;ERC-2017-COG;ERC Consolidator Grant
32;957538;ERC-2020-POC;Call for proposals for ERC Proof of Concept Grant
33;875834;EIC-SMEInst-2018-2020;SME instrument
34;851811;ERC-2019-STG;ERC Starting Grant
35;644122;ICT-05-2014;Smart Networks and novel Internet Architectures
36;952135;FETPROACT-EIC-06-2019;EIC Transition to Innovation Activities
37;748328;MSCA-IF-2016;Individual Fellowships
38;755615;JTI-CS2-2016-CFP04-SYS-02-22;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
39;954282;EIC-SMEInst-2018-2020;SME instrument
40;101024493;MSCA-IF-2020;Individual Fellowships
41;953381;EIC-SMEInst-2018-2020;SME instrument
42;725042;ERC-2016-COG;ERC Consolidator Grant
43;673664;PHC-12-2014;Clinical research for the validation of biomarkers and/or diagnostic medical devices
44;820845;JTI-CS2-2017-CfP07-AIR-02-53;Innovative & Flexible pilot plant Means for highly integrated AFP infusion wing box aiming at flying demonstrator manufacturing
45;945929;EIC-SMEInst-2018-2020;SME instrument
46;656937;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
47;878337;EIC-SMEInst-2018-2020;SME instrument
48;744126;SMEInst-06-2016-2017;Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well
49;873904;EIC-SMEInst-2018-2020;SME instrument
50;836206;EIC-SMEInst-2018-2020;SME instrument
51;663113;ICT-37-2014-1;Open Disruptive Innovation Scheme (implemented through the SME instrument)
52;876168;EIC-SMEInst-2018-2020;SME instrument
53;812960;ERC-2018-PoC;ERC Proof of Concept Grant
54;662704;ICT-37-2014-1;Open Disruptive Innovation Scheme (implemented through the SME instrument)
55;654020;MSCA-IF-2014-GF;Marie Skłodowska-Curie Individual Fellowships (IF-GF)
56;699294;Sesar-04-2015;Environment and Meteorology in ATM
57;755235;ERC-PoC-2016;ERC-Proof of Concept-2016
58;674203;ICT-37-2014-1;Open Disruptive Innovation Scheme (implemented through the SME instrument)
59;762676;SMEInst-09-2016-2017;Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
60;807961;SMEInst-10-2016-2017;Small business innovation research for Transport and Smart Cities Mobility
61;772989;ERC-2017-COG;ERC Consolidator Grant
62;746837;MSCA-IF-2016;Individual Fellowships
63;821398;JTI-CS2-2017-CfP07-ENG-02-06;Experimental investigation of aerodynamic and heat transfer properties for a next generation turbine frame and nozzle
64;864831;JTI-CS2-2018-CfP09-LPA-01-59;Fan inlet advanced distortion simulator
65;781390;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
66;825310;ICT-24-2018-2019;Next Generation Internet - An Open Internet Initiative
67;854998;EIC-SMEInst-2018-2020;SME instrument
68;672785;IT-1-2014-1;Small business innovation research for Transport
69;813127;ERC-2018-PoC;ERC Proof of Concept Grant
70;663424;PHC-12-2014-1;Clinical research for the validation of biomarkers and/or diagnostic medical devices
71;775593;SMEInst-13-2016-2017;Engaging SMEs in security research and development
72;781100;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
73;868390;EIC-SMEInst-2018-2020;SME instrument
74;683863;INSO-9-2015-1;Innovative mobile e-government applications by SMEs
75;827075;EIC-SMEInst-2018-2020;SME instrument
76;811509;EIC-SMEInst-2018-2020;SME instrument
77;836486;EIC-SMEInst-2018-2020;SME instrument
78;767064;ERC-2017-PoC;ERC-Proof of Concept
79;686732;JTI-CS2-2014-CFP01-FRC-02-06;High Voltage Network Battery
80;738296;SMEInst-10-2016-2017;Small business innovation research for Transport and Smart Cities Mobility
81;682711;ERC-CoG-2015;ERC Consolidator Grant
82;856069;EIC-SMEInst-2018-2020;SME instrument
83;673336;ICT-37-2014;Open Disruptive Innovation Scheme (implemented through the SME instrument)
84;782515;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
85;829917;EIC-SMEInst-2018-2020;SME instrument
86;850339;EIC-SMEInst-2018-2020;SME instrument
87;742542;SMEInst-10-2016-2017;Small business innovation research for Transport and Smart Cities Mobility
88;650854;IT-1-2014-1;Small business innovation research for Transport
89;774211;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
90;855134;EIC-SMEInst-2018-2020;SME instrument
91;899907;ERC-2019-POC;ERC Proof of Concept Grant
92;946647;ERC-2020-STG;ERC STARTING GRANTS
93;696556;ICT-37-2015-1;Open Disruptive Innovation Scheme (implemented through the SME instrument)
94;823292;EIC-SMEInst-2018-2020;SME instrument
95;709312;NMP-25-2015-1;Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs
96;771844;ERC-2017-COG;ERC Consolidator Grant
97;727227;ERC-PoC-2016;ERC-Proof of Concept-2016
98;724725;ERC-2016-COG;ERC Consolidator Grant
99;654987;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
100;815501;EIC-SMEInst-2018-2020;SME instrument
101;892944;MSCA-IF-2019;Individual Fellowships
102;737638;ERC-PoC-2016;ERC-Proof of Concept-2016
103;877543;EIC-SMEInst-2018-2020;SME instrument
