;projectID;topic;title
0;101075949;HORIZON-WIDERA-2022-CONF-RI-IBA;Presidency event - Conference on international cooperation in research and innovation
1;101072693;EURATOM-2021-UKRAINE-TRAINING-INFO-IBA;Training and information actions to integrate Ukrainian research entities into European nuclear research networks
2;101059359;EURATOM-2021-FISA-EURADWASTE-IBA;FISA-EURADWASTE conference on Euratom fission research and training (Presidency event)
3;101090304;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
4;101090293;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
5;101090320;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
6;101087348;HORIZON-WIDERA-2022-ACCESS-04-01;Excellence Hubs
7;101086110;HORIZON-WIDERA-2022-ACCESS-04-01;Excellence Hubs
8;101052410;HORIZON-WIDERA-2021-EUCYS-IBA;European Union Contest for Young Scientists (EUCYS) 2022
9;101060327;HORIZON-EURATOM-2021-NRT-01-01;Safety of operating nuclear power plants and research reactors
10;101061201;HORIZON-EURATOM-2021-NRT-01-01;Safety of operating nuclear power plants and research reactors
11;101087318;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
12;101087471;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
13;101087030;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
14;101086712;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
15;101087416;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
16;101079459;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
17;101079337;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
18;101078933;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
19;101079385;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
20;101079303;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
21;101059546;HORIZON-WIDERA-2021-ACCESS-02-01;Twinning Western Balkans Special
22;101059942;HORIZON-WIDERA-2021-ACCESS-02-01;Twinning Western Balkans Special
23;101060145;HORIZON-WIDERA-2021-ACCESS-02-01;Twinning Western Balkans Special
24;101087091;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
25;101079219;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
26;101079237;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
27;101055286;HORIZON-WIDERA-2021-NCP-IBA;NCP Network including proposal pre-check
28;101087568;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
29;101060920;HORIZON-EURATOM-2021-NRT-01-14;Socio-economic issues related to nuclear technologies
30;101076447;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
31;101059784;HORIZON-WIDERA-2021-ACCESS-02-01;Twinning Western Balkans Special
32;101051287;HORIZON-INFRA-2021-ICRI-IBA;International Conference on Research Infrastructures – ICRI 2022
33;101059870;HORIZON-WIDERA-2021-ACCESS-02-01;Twinning Western Balkans Special
34;101090306;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
35;101079379;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
36;101090269;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
37;101060028;HORIZON-EURATOM-2021-NRT-01-08;Towards a harmonised application of the international regulatory framework in waste management and decommissioning
38;101079264;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
39;101061007;HORIZON-EURATOM-2021-NRT-01-11;Cross-sectoral synergies and new applications of nuclear technologies
40;101061230;HORIZON-EURATOM-2021-NRT-01-10;Safe use and reliable supply of medical radionuclides
41;101061643;HORIZON-EURATOM-2021-NRT-01-06;Harmonisation of licensing procedures, codes and standards for future fission and fusion plants
42;101059534;HORIZON-WIDERA-2021-ACCESS-02-01;Twinning Western Balkans Special
43;101090337;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
44;101087124;HORIZON-WIDERA-2022-ACCESS-04-01;Excellence Hubs
45;101079460;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
46;101090295;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
47;101087529;HORIZON-WIDERA-2022-ACCESS-04-01;Excellence Hubs
48;101059408;HORIZON-EURATOM-2021-NRT-01-07;Development of tritium management in fusion and fission facilities
49;101087126;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
50;101079246;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
51;101079091;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
52;101060646;HORIZON-EURATOM-2021-NRT-01-16;Support for the Sustainable Nuclear Energy Technology Platform to address cross-sectoral challenges and non-power applications of ionising radiation
53;101060826;HORIZON-EURATOM-2021-NRT-01-01;Safety of operating nuclear power plants and research reactors
54;101059603;HORIZON-EURATOM-2021-NRT-01-05;Safety of high temperature reactors
55;101060008;HORIZON-EURATOM-2021-NRT-01-12;European facility for nuclear research
56;101059479;HORIZON-EURATOM-2021-NRT-01-02;Safety of advanced and innovative nuclear designs and fuels
57;101059511;HORIZON-EURATOM-2021-NRT-01-01;Safety of operating nuclear power plants and research reactors
58;101071919;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
59;101071749;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
60;101071755;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
